,productAsin,country,date,isVerified,ratingScore,reviewTitle,variantAsin,Color,Size
0,B09G9BL5CP,India,11-08-2024,True,4,No charger,B09G9BQS98,Midnight,256 GB
1,B09G9BL5CP,India,16-08-2024,True,5,iPhone 13 256GB,B09G9BQS98,Midnight,256 GB
2,B09G9BL5CP,India,14-05-2024,True,4,Flip camera option nill,B09G9BQS98,Midnight,256 GB
3,B09G9BL5CP,India,24-06-2024,True,5,Product,B09G9BQS98,Midnight,256 GB
4,B09G9BL5CP,India,18-05-2024,True,5,Good product,B09G9BQS98,Midnight,256 GB
5,B09G9BL5CP,India,14-05-2024,True,5,Too smooth and effective battery life,B09G9BQS98,Midnight,256 GB
6,B09G9BL5CP,India,28-01-2024,True,5,Apple 13 256 GB,B09G9BQS98,Midnight,256 GB
7,B09G9BL5CP,India,01-03-2024,True,5,Good,B09G9BQS98,Midnight,256 GB
8,B09G9BL5CP,India,14-11-2023,True,4,Good,B09G9BQS98,Midnight,256 GB
9,B09G9BL5CP,India,03-02-2024,True,5,Excellent,B09G9BQS98,Midnight,256 GB
10,B09G9BL5CP,India,06-02-2022,True,5,Truly worth the money spent! Even if you go broke!,B09G9HRYFZ,Pink,256 GB
11,B09G9BL5CP,India,06-07-2024,True,5,I love it,B09G9HRYFZ,Pink,256 GB
12,B09G9BL5CP,India,18-05-2024,True,5,Its a legit iPhone,B09G9HRYFZ,Pink,256 GB
13,B09G9BL5CP,India,11-03-2024,True,5,Worth every penny,B09G9HRYFZ,Pink,256 GB
14,B09G9BL5CP,India,12-10-2023,True,4,Nice.,B09G9HRYFZ,Pink,256 GB
15,B09G9BL5CP,India,11-03-2022,True,5,Worth the product,B09G9HRYFZ,Pink,256 GB
16,B09G9BL5CP,India,31-10-2023,True,3,It's been a week since I've been using this phone,B09G9HRYFZ,Pink,256 GB
17,B09G9BL5CP,India,29-11-2023,True,5,Great,B09G9HRYFZ,Pink,256 GB
18,B09G9BL5CP,India,08-09-2022,True,5,Same as shown in pictures,B09G9HRYFZ,Pink,256 GB
19,B09G9BL5CP,India,14-02-2024,True,2,My device is not working need help,B09G9HRYFZ,Pink,256 GB
20,B09G9BL5CP,India,06-08-2024,True,5,Its the best,B09G93H3BR,Blue,256 GB
21,B09G9BL5CP,India,25-06-2024,True,3,Not worth,B09G93H3BR,Blue,256 GB
22,B09G9BL5CP,India,12-05-2024,True,3,Improved version of iPhone 11,B09G93H3BR,Blue,256 GB
23,B09G9BL5CP,India,21-07-2024,True,2,Doubtful,B09G93H3BR,Blue,256 GB
24,B09G9BL5CP,India,04-11-2023,True,5,Amazing and Best value for money Iphone,B09G93H3BR,Blue,256 GB
25,B09G9BL5CP,India,15-02-2024,True,5,Good,B09G93H3BR,Blue,256 GB
26,B09G9BL5CP,India,07-08-2024,False,4,Camera is impressive but i am not happy with battery's,B09G93H3BR,Blue,256 GB
27,B09G9BL5CP,India,24-01-2024,True,5,Supar mobile phone,B09G93H3BR,Blue,256 GB
28,B09G9BL5CP,India,07-04-2022,True,4,Good but its not recommended to all,B09G93H3BR,Blue,256 GB
